id,host_id,host_listings_count,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_location
1766318,8772773,5,Colares,Sintra,38.839020,-9.459880,Entire cottage,Entire home/apt,4,1,2,3,65,3,56,4.44,4.67,4.51,4.84
1767257,3841323,3,Santa Maria Maior,Lisboa,38.710660,-9.133400,Entire rental unit,Entire home/apt,6,1,3,4,125,2,307,4.61,4.78,4.73,4.91
1773997,3716977,11,Santa Maria Maior,Lisboa,38.711280,-9.129260,Entire rental unit,Entire home/apt,4,1,1,1,57,2,473,4.69,4.76,4.71,4.8
1775040,8772773,5,Colares,Sintra,38.839070,-9.461340,Entire cottage,Entire home/apt,3,1,1,2,60,3,83,4.41,4.54,4.6,4.84
1778724,9338843,12,Santo Antnio,Lisboa,38.716810,-9.147710,Entire rental unit,Entire home/apt,4,1,2,3,70,2,7,4.29,4.43,4.71,5
1780150,5847348,10,Cascais e Estoril,Cascais,38.704230,-9.386310,Entire rental unit,Entire home/apt,5,1,2,4,95,3,12,4.58,4.58,4.5,4.67
1780153,6729294,2,Alvalade,Lisboa,38.751620,-9.149190,Entire rental unit,Entire home/apt,5,1,2,5,60,5,1,4,4,4,4
1780765,5847348,10,Santo Antnio,Lisboa,38.723450,-9.157690,Entire rental unit,Entire home/apt,5,1,2,3,95,3,5,4.75,5,4.5,4.25
1780958,5847348,10,Santo Antnio,Lisboa,38.722230,-9.156620,Entire rental unit,Entire home/apt,5,1,2,3,95,3,15,4.79,4.71,4.79,4.79
1781075,6638070,4,So Vicente,Lisboa,38.719340,-9.127900,Entire rental unit,Entire home/apt,5,1,2,4,80,3,185,4.92,4.91,4.95,4.78
1792236,9403075,2,Cascais e Estoril,Cascais,38.710060,-9.434880,Private room in residential home,Private room,2,1,1,0,78,2,182,4.81,4.91,4.95,4.41
1792764,7281321,3,Misericrdia,Lisboa,38.714060,-9.143260,Entire rental unit,Entire home/apt,4,1,2,3,103,3,17,4.81,5,4.88,4.81
1793284,9408757,2,So Vicente,Lisboa,38.717820,-9.132290,Entire rental unit,Entire home/apt,6,2,3,4,70,3,2,4.5,3.5,4.5,3.5
1793527,1539827,2,Santo Isidoro,Mafra,39.003770,-9.417970,Entire rental unit,Entire home/apt,4,1,2,2,39,5,46,4.3,4.7,4.26,4.74
1801264,9443785,5,Carcavelos e Parede,Cascais,38.689970,-9.339590,Tiny house,Entire home/apt,3,1,1,3,75,3,6,4.67,4.83,4.5,4.67
1820114,9530121,2,Misericrdia,Lisboa,38.710030,-9.146810,Entire rental unit,Entire home/apt,6,1,2,4,65,3,213,4.82,4.88,4.8,4.87
1829382,9568449,2,Cascais e Estoril,Cascais,38.706850,-9.400430,Entire rental unit,Entire home/apt,3,1,0,2,150,5,1,2,1,4,4
1830748,9575555,3,Misericrdia,Lisboa,38.713810,-9.148390,Entire residential home,Entire home/apt,16,1,5,16,560,1,67,4.78,4.84,4.81,4.73
1833962,8177737,5,Alcntara,Lisboa,38.707230,-9.181450,Entire rental unit,Entire home/apt,3,1,0,2,45,5,54,4.72,4.74,4.63,4.83
1855526,2681397,30,Misericrdia,Lisboa,38.710240,-9.145330,Entire rental unit,Entire home/apt,16,2,4,12,177,1,239,4.44,4.52,4.56,4.86
1868372,9723861,5,Cascais e Estoril,Cascais,38.713500,-9.437960,Entire residential home,Entire home/apt,5,3,3,3,141,4,26,4.65,4.65,4.81,4.19
1868751,205253115,4,Santa Maria Maior,Lisboa,38.709060,-9.129570,Entire rental unit,Entire home/apt,4,1,1,2,78,4,199,4.79,4.91,4.88,4.8
1869774,9745566,1,Estrela,Lisboa,38.713280,-9.155810,Entire rental unit,Entire home/apt,2,1,1,2,68,3,109,4.85,4.93,4.97,4.65
1892459,270457,9,Estrela,Lisboa,38.715170,-9.163590,Entire rental unit,Entire home/apt,4,1,1,1,40,2,56,4.69,4.84,4.73,4.65
1897824,9858498,2,Arroios,Lisboa,38.716050,-9.137560,Entire rental unit,Entire home/apt,2,1,1,2,68,5,125,4.81,4.88,4.79,4.74
1899735,3433772,11,Santa Maria Maior,Lisboa,38.712430,-9.128190,Entire rental unit,Entire home/apt,2,1,1,1,60,3,195,4.76,4.89,4.89,4.88
1904815,9443785,5,Carcavelos e Parede,Cascais,38.690550,-9.338510,Tiny house,Entire home/apt,2,1,0,2,68,3,7,4.67,4.67,4.83,4.5
1905337,9443785,5,Carcavelos e Parede,Cascais,38.689240,-9.340130,Entire residential home,Entire home/apt,1,1,1,2,60,3,5,4.6,5,4.2,4.8
1912564,6003730,2,Ericeira,Mafra,38.966650,-9.405890,Entire residential home,Entire home/apt,8,2,3,7,150,4,24,4.96,4.79,4.92,4.83
1915721,9439914,1,Penha de Frana,Lisboa,38.723130,-9.130860,Entire rental unit,Entire home/apt,2,1,1,1,85,2,109,4.8,4.91,4.95,4.67
1916892,8866903,2,Santa Maria Maior,Lisboa,38.713030,-9.127010,Entire rental unit,Entire home/apt,2,1,1,2,55,3,492,4.91,4.95,4.98,4.9
1923267,9427523,4,Santa Maria Maior,Lisboa,38.717450,-9.134950,Entire rental unit,Entire home/apt,2,1,1,1,34,1,292,4.64,4.87,4.88,4.61
1929751,9992576,1,So Bartolomeu dos Galegos e Moledo,Lourinh,39.292210,-9.274190,Windmill,Entire home/apt,4,1,1,2,66,2,7,5,5,5,4.86
1933183,3634413,13,Santa Maria Maior,Lisboa,38.709950,-9.133780,Entire rental unit,Entire home/apt,9,2,4,8,184,2,183,4.59,4.75,4.63,4.88
1937934,3634413,13,Santa Maria Maior,Lisboa,38.708440,-9.132890,Entire rental unit,Entire home/apt,8,2,3,8,161,2,217,4.63,4.71,4.5,4.9
1938910,3634413,13,Santa Maria Maior,Lisboa,38.710340,-9.131820,Entire rental unit,Entire home/apt,5,1,2,5,87,2,202,4.73,4.88,4.66,4.96
1944715,10058743,16,Misericrdia,Lisboa,38.709330,-9.148690,Entire serviced apartment,Entire home/apt,4,1,2,2,53,1,119,4.2,4.4,4.35,4.73
1946199,10066743,4,Misericrdia,Lisboa,38.708400,-9.150630,Entire rental unit,Entire home/apt,4,1,0,4,37,1,308,4.68,4.85,4.73,4.84
1947927,10073506,2,Arroios,Lisboa,38.724170,-9.138630,Entire residential home,Entire home/apt,3,1,2,2,55,1,60,4.12,4.35,4.31,4.51
1955508,10106628,1,Santa Maria Maior,Lisboa,38.716650,-9.134030,Entire condominium (condo),Entire home/apt,6,1,2,2,60,3,220,4.54,4.69,4.78,4.51
1956269,6401752,5,Areeiro,Lisboa,38.737900,-9.134460,Private room in rental unit,Private room,2,2,1,2,32,1,66,4.16,4.29,4.38,4.61
1958234,10121011,4,Santa Maria Maior,Lisboa,38.711310,-9.128370,Entire rental unit,Entire home/apt,6,1,2,3,64,2,304,4.86,4.88,4.94,4.84
1960274,6031315,3,Misericrdia,Lisboa,38.708889,-9.146260,Entire rental unit,Entire home/apt,3,1,1,2,58,1,332,4.45,4.63,4.56,4.76
1960436,6031315,3,Misericrdia,Lisboa,38.708904,-9.146249,Entire rental unit,Entire home/apt,4,1,1,2,63,1,245,4.58,4.72,4.56,4.81
1961961,2073678,2,Arroios,Lisboa,38.734070,-9.132550,Private room in rental unit,Private room,2,1,1,1,19,1,358,4.62,4.79,4.64,4.66
1963652,10145374,1,Arroios,Lisboa,38.726120,-9.130850,Entire rental unit,Entire home/apt,4,2,2,2,95,3,77,4.67,4.81,4.99,4.55
1965533,2396258,18,So Vicente,Lisboa,38.713436,-9.125277,Entire rental unit,Entire home/apt,10,3,4,7,235,2,81,4.69,4.64,4.7,4.8
1968490,815805,6,Misericrdia,Lisboa,38.709730,-9.146490,Entire rental unit,Entire home/apt,4,2,2,3,140,3,319,4.75,4.83,4.83,4.9
1978155,3327663,24,Santo Isidoro,Mafra,38.987700,-9.369770,Entire residential home,Entire home/apt,8,3,6,0,130,3,4,5,5,4.75,5
1978974,3327663,24,Ericeira,Mafra,38.971670,-9.418600,Entire residential home,Entire home/apt,6,1,3,4,65,5,11,4.82,4.64,4.55,4.82
1980700,3327663,24,Santo Isidoro,Mafra,38.994320,-9.397750,Entire residential home,Entire home/apt,6,2,3,6,65,4,1,5,5,5,5
1989174,3327663,24,Ericeira,Mafra,38.968900,-9.419630,Entire residential home,Entire home/apt,4,1,2,0,80,5,3,5,5,5,5
1998055,10294762,1,Colares,Sintra,38.833630,-9.467450,Entire residential home,Entire home/apt,6,3,3,5,130,6,10,4.6,4.7,4.2,4.6
1998144,10295145,1,Misericrdia,Lisboa,38.716120,-9.152470,Entire rental unit,Entire home/apt,2,1,0,1,48,3,39,4.81,4.75,4.83,4.83
1999782,10301864,0,Ericeira,Mafra,38.985870,-9.417770,Entire rental unit,Entire home/apt,10,3,3,7,84,4,29,4.76,4.72,4.69,4.55
2000279,8994261,2,Misericrdia,Lisboa,38.711490,-9.151270,Entire rental unit,Entire home/apt,4,1,1,1,40,2,251,4.49,4.68,4.59,4.75
2006655,4827358,14,Misericrdia,Lisboa,38.707680,-9.148740,Entire serviced apartment,Entire home/apt,4,1,1,1,50,1,28,4.48,4.48,4.68,4.96
2006802,4972896,41,Santa Maria Maior,Lisboa,38.710450,-9.134460,Entire rental unit,Entire home/apt,6,3,2,5,100,3,81,4.73,4.85,4.79,4.9
2006829,4827358,14,Misericrdia,Lisboa,38.709760,-9.147090,Entire rental unit,Entire home/apt,2,1,1,1,40,1,1,5,5,5,5
2006942,4827358,14,Misericrdia,Lisboa,38.708020,-9.148650,Entire serviced apartment,Entire home/apt,4,1,1,2,50,1,25,4.13,4.38,4.25,4.59
2007021,4827358,14,Misericrdia,Lisboa,38.707670,-9.146520,Entire loft,Entire home/apt,2,1,0,1,49,1,6,4,4.33,3.5,4.5
2007481,10332445,5,Santa Maria Maior,Lisboa,38.710660,-9.128770,Entire rental unit,Entire home/apt,2,1,1,1,45,1,161,4.45,4.63,4.24,4.89
2017803,10376450,1,Reguengo Grande,Lourinh,39.293550,-9.213170,Entire villa,Entire home/apt,10,4,5,6,99,7,13,4.46,4.46,4.54,4.15
2020019,10384293,1,Santa Maria Maior,Lisboa,38.716350,-9.133050,Entire rental unit,Entire home/apt,3,1,1,2,60,2,247,4.48,4.79,4.53,4.52
2022636,2372087,59,Santo Antnio,Lisboa,38.717300,-9.150150,Entire rental unit,Entire home/apt,4,1,2,2,148,5,39,4.74,4.82,4.67,4.92
2032759,3488747,1,So Vicente,Lisboa,38.713540,-9.125760,Entire rental unit,Entire home/apt,3,1,2,2,46,3,235,4.86,4.93,4.89,4.94
2036114,3327663,24,Ericeira,Mafra,38.967510,-9.418310,Entire rental unit,Entire home/apt,5,1,2,3,77,4,6,4.5,4.67,4.5,4.67
2036679,10450731,1,Misericrdia,Lisboa,38.710900,-9.148760,Entire rental unit,Entire home/apt,4,1,1,2,70,3,124,4.81,4.84,4.87,4.9
2041499,5809174,6,So Vicente,Lisboa,38.714480,-9.130790,Entire rental unit,Entire home/apt,4,1,2,2,65,3,275,4.49,4.45,4.59,4.8
2047986,247755,1,Alcabideche,Cascais,38.723255,-9.414909,Entire rental unit,Entire home/apt,5,2,2,3,85,4,30,4.7,4.67,4.73,4.77
2054391,5562989,4,Arroios,Lisboa,38.716340,-9.138370,Entire rental unit,Entire home/apt,5,2,3,3,119,3,48,4.65,4.66,4.83,4.59
2054583,5562989,4,Arroios,Lisboa,38.716410,-9.139490,Entire rental unit,Entire home/apt,2,1,1,1,89,3,21,4.38,4.65,5,4.55
2055113,10525304,1,Cascais e Estoril,Cascais,38.696760,-9.423640,Entire rental unit,Entire home/apt,4,1,1,2,45,3,123,4.8,4.93,4.88,4.93
2066189,10569109,3,Estrela,Lisboa,38.709070,-9.156580,Entire rental unit,Entire home/apt,4,1,2,3,80,1,264,4.91,4.93,4.95,4.81
2075134,3327663,24,Ericeira,Mafra,38.968060,-9.418810,Entire rental unit,Entire home/apt,3,1,1,1,65,3,1,5,5,5,5
2076439,3327663,24,Ericeira,Mafra,38.967200,-9.418970,Entire rental unit,Entire home/apt,4,1,2,3,80,5,38,4.63,4.79,4.79,5
2083162,9816110,6,Santa Maria Maior,Lisboa,38.711560,-9.128520,Entire rental unit,Entire home/apt,3,2,1,1,44,1,386,4.53,4.69,4.79,4.86
2091279,137249213,4,Santo Antnio,Lisboa,38.720630,-9.144200,Entire rental unit,Entire home/apt,3,1,1,1,43,1,52,4.75,4.88,4.9,4.88
2099603,181902,29,Santa Maria Maior,Lisboa,38.711610,-9.139740,Entire rental unit,Entire home/apt,9,2,3,6,155,1,135,4.85,4.87,4.91,4.96
2100712,4827358,14,Campo de Ourique,Lisboa,38.719370,-9.156970,Private room in rental unit,Private room,2,0,1,1,35,1,12,4.5,4.64,4.25,4.55
